stop_id,stop_name,lat,lon,boardings,alightings,demand,min_cityhall,min_samsan,min_taehwagang,min_ulsanuniv,min_hhi,min_uuh,min_ktx,min_eonyang,min_to_any_hub,mean_to_hubs,hubs_within_45min
E0000,학성공원,35.55658155,129.3380908,1737,992,2729,21.0,22.0,26.0,36.0,52.0,62.0,78.0,88.0,21.0,48.125,4
E0001,선거관리위원회,35.55548744,129.3322482,441,112,553,20.0,23.0,29.0,36.0,55.0,66.0,78.0,87.0,20.0,49.25,4
E0002,학성배수장,35.55179813,129.3324074,135,76,211,19.0,26.0,29.0,35.0,55.0,68.0,77.0,88.0,19.0,49.625,4
E0003,옥성초등학교,35.55250827,129.3360308,280,87,367,23.0,24.0,28.0,37.0,52.0,64.0,79.0,90.0,23.0,49.625,4
E0004,남운학성타운,35.55781913,129.3312257,21,15,36,24.0,25.0,31.0,39.0,56.0,66.0,79.0,91.0,24.0,51.375,4
E0005,복산성당,35.55848198,129.3289798,29,18,47,23.0,25.0,32.0,38.0,58.0,69.0,77.0,90.0,23.0,51.5,4
E0006,울산교회,35.55908691,129.3278326,114,29,143,21.0,25.0,32.0,36.0,58.0,69.0,76.0,88.0,21.0,50.625,4
E0007,신중앙시장,35.55518241,129.328481,315,106,421,18.0,22.0,29.0,33.0,56.0,67.0,75.0,86.0,18.0,48.25,4
E0008,중앙전통시장,35.55529926,129.3258299,340,338,678,17.0,21.0,28.0,33.0,56.0,66.0,73.0,83.0,17.0,47.125,4
E0009,구역전시장,35.55809068,129.3274759,599,199,798,23.0,26.0,33.0,39.0,59.0,69.0,78.0,89.0,23.0,52.0,4
E0010,한국건강관리협회,35.55745111,129.3263107,389,139,528,22.0,22.0,29.0,38.0,58.0,68.0,77.0,88.0,22.0,50.25,4
E0011,현대자동차,35.54215549,129.3851753,17,10,27,45.0,38.0,26.0,61.0,27.0,37.0,99.0,111.0,26.0,55.5,5
E0012,중앙동행정복지센터,35.55721299,129.3239939,49,7,56,21.0,25.0,32.0,37.0,59.0,70.0,76.0,89.0,21.0,51.125,4
E0013,홈플러스중구점,35.5637782,129.3349917,1332,417,1749,24.0,25.0,31.0,41.0,56.0,66.0,81.0,93.0,24.0,52.125,4
E0014,울산MBC,35.56296231,129.3335414,587,113,700,22.0,26.0,33.0,38.0,60.0,70.0,79.0,91.0,22.0,52.375,4
E0015,계비고개,35.5602968,129.329126,83,41,124,21.0,25.0,32.0,37.0,60.0,71.0,77.0,89.0,21.0,51.5,4
