route_id,route_no,route_type,n_stops,length_km,detour
USB192000001,중구01,지선버스,21,6.8,1.42
USB192000002,중구01(농수산물유통센터정문 출발),지선버스,22,7.15,1.49
USB192000003,중구01(현대백화점정문 출발),지선버스,21,6.42,1.47
USB192000004,중구02,지선버스,27,6.95,1.94
USB192000005,중구02,지선버스,16,3.8,1.86
USB192000006,중구02(남외중학교 경유),지선버스,32,8.27,2.52
USB192000007,중구02(남외중학교 경유),지선버스,21,5.07,2.25
USB192000008,중구03,지선버스,17,5.33,1.87
USB192000009,중구04,지선버스,19,8.71,1.7
USB192000010,중구04(농수산물유통센터 정문 출발),지선버스,14,6.93,1.35
USB192000011,중구04(현대백화점정문 출발),지선버스,16,7.75,1.7
USB192000012,중구51,마을버스,26,12.92,2.66
USB192000013,중구51,마을버스,28,13.21,2.88
USB192000014,중구51(성안청구아파트 출발),마을버스,15,7.09,2.39
USB192000015,중구51(우정선경아파트 출발),마을버스,12,5.83,1.53
USB192000018,중구52((함월고 경유)동덕 출발),마을버스,15,4.19,2.64
USB192000023,중구54,마을버스,26,6.66,2.25
USB192000024,중구54,마을버스,10,3.44,1.48
USB192000025,중구54(함월고등학교 경유),마을버스,26,8.91,3.02
USB192000026,중구55,마을버스,17,4.94,1.67
USB192000027,중구55,마을버스,20,5.3,1.79
USB192000028,중구56,마을버스,27,7.21,2.52
USB192000029,중구56,마을버스,21,5.85,2.09
USB192000030,중구56(풍암마을 경유),마을버스,31,9.43,2.14
USB192000031,중구56(풍암마을 경유),마을버스,25,8.03,2.03
USB192000599,중구52(마두희축제(함월고 경유)동덕 출발),마을버스,14,3.01,1.89
USB192000639,중구52,마을버스,13,2.72,1.93
USB192000640,중구52(동덕현대아파트 출발),마을버스,14,2.9,1.82
USB192000697,중구53,마을버스,26,6.8,1.38
USB192000698,중구53(유곡푸르지오 경유),마을버스,27,6.93,1.46
USB192000699,중구53(테크노파크 출발),마을버스,26,6.8,1.38
USB192000700,중구53(홈플러스 출발),마을버스,19,5.45,1.43
USB192000701,중구53(테크노파크 출발(유곡푸르지오 경유)),마을버스,27,6.93,1.46
USB192000702,중구53(홈플러스 출발(유곡푸르지오 경유)),마을버스,20,5.59,1.14
USB192000703,중구57,마을버스,26,10.91,1.78
USB192000704,중구57(테크노파크 출발),마을버스,26,10.91,1.78
USB192000705,중구57(홈플러스중구점 출발),마을버스,27,9.34,1.53
USB192900693,자율B1,좌석버스,8,3.57,1.01
USB192900694,자율B1,좌석버스,8,3.66,1.01
USB193000033,남구01,지선버스,26,5.86,1.52
USB193000034,남구02,지선버스,15,4.14,1.91
USB193000035,남구03,지선버스,23,5.67,1.58
USB193000036,남구04,지선버스,26,7.47,1.65
USB193000037,남구04(강변그린빌(문수초등학교 경유)),지선버스,36,10.22,2.25
USB193000038,남구04(문수초등학교 경유),지선버스,20,6.6,1.39
USB193000039,남구05,지선버스,30,6.84,1.45
USB193000040,남구06,지선버스,27,7.59,1.79
USB193000041,남구06(상개동 출발),지선버스,26,7.24,1.71
USB193000042,남구06(현대백화점정문 출발),지선버스,27,7.29,1.97
USB193000043,남구07,지선버스,20,5.07,2.4
USB193000044,남구08,지선버스,20,4.69,1.22
USB193000045,남구09,지선버스,22,6.57,1.59
USB193000046,남구10,지선버스,23,5.7,1.63
USB193000047,남구11,지선버스,14,4.78,1.37
USB193000048,남구12,지선버스,12,3.45,1.25
USB193000051,남구13,지선버스,13,4.77,1.44
USB193000052,남구14,지선버스,25,11.18,1.77
USB193000053,남구15,지선버스,15,4.34,1.65
USB193000054,남구49,지선버스,6,8.48,2.67
USB193000055,남구51,마을버스,30,5.78,2.31
USB193000056,남구51(강변그린빌 출발),마을버스,39,7.22,2.89
USB193000057,남구51(옥현주공3단지 출발),마을버스,25,4.92,2.77
USB193000058,남구52,마을버스,12,3.45,1.25
USB193000059,남구52(옥현주공3단지 출발),마을버스,16,4.35,2.14
USB193000060,716,일반버스,54,27.61,2.72
USB193000061,716(덕하 출발),일반버스,36,19.47,3.36
USB193000062,918,일반버스,21,9.75,1.99
USB193000063,918(1순환),일반버스,22,10.08,2.1
USB193000064,918(태화강공원 미경유),일반버스,21,9.68,1.98
USB193000065,918(태화강공원 미경유(1순환)),일반버스,21,9.68,1.98
USB193000066,9001,순환버스,8,8.45,1.22
USB193000067,9002,순환버스,6,12.25,1.76
USB193000472,남구13(율리 출발),지선버스,7,2.36,1.29
USB193000488,남구04(강변그린빌 출발),지선버스,23,6.39,1.63
USB193000489,남구04(안영축 출발),지선버스,27,8.28,1.81
USB193000563,716(태화강역 출발),일반버스,73,36.01,3.33
USB194000068,동구01,지선버스,29,6.63,1.22
USB194000069,동구02,지선버스,19,4.55,1.72
USB194000070,동구03,지선버스,26,6.18,1.29
USB194000071,동구51,마을버스,40,7.02,1.7
USB194000072,동구52,마을버스,37,7.17,2.18
USB194000073,동구53,마을버스,24,5.3,2.06
USB194000074,동구53(쇠평마을 경유),마을버스,23,6.12,1.44
USB194000075,동구54,마을버스,36,7.08,1.61
USB194000076,111,일반버스,21,7.47,1.44
USB194000077,111(현대예술관(꽃바위아파트 방면)),일반버스,17,5.92,1.12
USB194000078,112,일반버스,82,32.23,1.67
USB194000079,112(꽃바위 출발),일반버스,77,30.2,1.57
USB194000080,112(달천회관앞 출발),일반버스,71,30.09,1.57
USB194000081,114,일반버스,56,27.25,1.54
USB194000082,114,일반버스,56,27.29,1.54
USB194000083,115,일반버스,63,31.49,2.45
USB194000084,115,일반버스,61,30.82,2.42
USB194000085,118,일반버스,51,21.81,1.7
USB194000086,121,일반버스,22,7.97,1.24
USB194000087,121(남목1동(미포 방면)),일반버스,12,8.43,1.26
USB194000088,122,일반버스,73,32.28,1.42
USB194000089,122(꽃바위 출발),일반버스,73,32.29,1.42
USB194000090,122(모화 출발),일반버스,71,32.2,1.36
USB194000091,124,일반버스,44,25.51,1.51
USB194000092,124(율리 출발),일반버스,46,26.0,1.54
USB194000093,124(지웰시티자이 출발),일반버스,44,24.56,1.49
USB194000097,132,일반버스,62,25.03,1.41
USB194000098,132(푸르지오1차 출발),일반버스,58,24.24,1.42
USB194000099,134,일반버스,67,30.66,1.86
USB194000100,134,일반버스,64,30.65,1.82
USB194000101,142,일반버스,66,33.79,1.73
USB194000102,142,일반버스,61,33.68,1.74
USB194000103,142(매곡산업단지 경유),일반버스,70,34.39,1.75
USB194000104,1114,좌석버스,28,25.92,1.52
USB194000105,1114,좌석버스,29,25.99,1.47
USB194000106,1115,좌석버스,35,36.2,1.57
USB194000107,1115,좌석버스,35,36.07,1.56
USB194000108,1134,좌석버스,32,29.53,1.76
USB194000109,1134,좌석버스,31,29.43,1.76
USB194000110,1144,좌석버스,21,53.4,1.35
USB194000111,1144,좌석버스,22,53.51,1.35
USB194000475,118(꽃바위 출발),일반버스,50,21.54,1.68
USB194000476,118(우정동 출발),일반버스,50,21.99,1.75
USB194000505,731,일반버스,38,19.93,1.74
USB194000506,731(꽃바위 출발),일반버스,47,24.23,2.11
USB194000507,731(명촌 출발),일반버스,43,23.98,2.14
USB194000636,128,일반버스,65,30.43,1.6
USB194000637,128,일반버스,62,30.39,1.6
USB195000112,북구01,지선버스,20,6.95,1.45
USB195000113,북구01(매곡산단 경유(오토밸리줌파크 방면)),지선버스,26,7.9,1.64
USB195000114,북구01(매곡산단 경유(농소 방면)),지선버스,20,6.95,1.45
USB195000115,북구02,지선버스,27,10.02,1.99
USB195000116,북구02(북울산역 출발),지선버스,8,3.2,1.64
USB195000117,북구02(우방아파트 출발),지선버스,25,9.83,1.88
USB195000118,북구03,지선버스,30,12.91,1.8
USB195000119,북구03(창좌 경유(병영시장 방면)),지선버스,31,13.8,1.99
USB195000120,북구03(창좌 경유(동산 방면)),지선버스,30,12.91,1.8
USB195000121,북구03(바깥시례 경유),지선버스,31,13.45,1.94
USB195000122,북구03(달천공단 경유(병영시장 방면)),지선버스,31,14.99,1.95
USB195000123,북구03(달천공단 경유(동산 방면)),지선버스,30,12.91,1.8
USB195000124,북구04,지선버스,28,8.48,2.36
USB195000125,북구05,지선버스,13,5.65,2.46
USB195000126,북구06,지선버스,18,6.31,1.76
USB195000127,북구06(동산 경유),지선버스,18,6.31,1.76
USB195000128,북구06(그린카운티),지선버스,17,6.26,1.65
USB195000129,북구07,지선버스,25,8.66,1.51
USB195000130,북구07(농소 출발),지선버스,25,8.66,1.51
USB195000131,북구07(평창리비에르 출발),지선버스,29,9.11,1.41
USB195000132,북구08,지선버스,26,9.77,1.72
USB195000133,북구08(중산산단 경유(오토밸리줌파크 방면)),지선버스,23,10.51,1.57
USB195000134,북구08(중산산단 경유(북울산역 방면)),지선버스,32,12.97,1.94
USB195000135,북구08(북울산역 출발),지선버스,26,9.77,1.72
USB195000136,북구08(오토밸리줌파크 출발),지선버스,26,9.83,1.73
USB195000137,북구08((농소 종료)북울산역 출발),지선버스,8,3.2,1.64
USB195000138,북구09,지선버스,15,5.85,1.23
USB195000139,북구09(정안요양병원),지선버스,18,6.97,1.15
USB195000140,북구10,지선버스,9,3.65,1.62
USB195000141,북구11,지선버스,24,8.77,1.59
USB195000142,북구11((농소 종료)북울산역 출발),지선버스,24,8.77,1.59
USB195000143,북구11(오토밸리줌파크 출발),지선버스,23,8.69,1.48
USB195000144,북구12,지선버스,31,10.74,2.65
USB195000145,북구12,지선버스,30,10.79,2.56
