stop_name,lat,lon,boardings,alightings
학성공원,35.556582,129.338091,1737,992
선거관리위원회,35.555487,129.332248,441,112
학성배수장,35.551798,129.332407,135,76
옥성초등학교,35.552508,129.336031,280,87
남운학성타운,35.557819,129.331226,21,15
복산성당,35.558482,129.32898,29,18
울산교회,35.559087,129.327833,114,29
신중앙시장,35.555182,129.328481,315,106
중앙전통시장,35.555299,129.32583,340,338
구역전시장,35.558091,129.327476,599,199
한국건강관리협회,35.557451,129.326311,389,139
현대자동차,35.542155,129.385175,17,10
중앙동행정복지센터,35.557213,129.323994,49,7
홈플러스중구점,35.563778,129.334992,1332,417
울산MBC,35.562962,129.333541,587,113
계비고개,35.560297,129.329126,83,41
복산동행정복지센터앞,35.563159,129.325818,234,40
동덕현대복산아이파크,35.565359,129.328744,299,38
남운아파트,35.56749,129.330081,168,34
중구청,35.567295,129.333045,692,188
한국전기안전공사,35.566802,129.324624,81,15
도화골입구,35.568541,129.327942,45,9
울산고등학교,35.562229,129.330554,62,14
복산아이파크,35.563473,129.329463,9,6
동덕현대아파트,35.564759,129.327187,143,9
동광약국,35.563527,129.32608,13,1
복산초등학교,35.55918,129.323262,12,0
울산시립미술관,35.557446,129.322878,170,54
성안입구,35.562596,129.319035,357,237
북정아파트,35.562528,129.322555,115,63
옥교동,35.55563,129.323634,954,366
풍적맨션,35.55202,129.327667,142,77
번영교입구,35.554426,129.323729,385,106
번영로입구,35.555706,129.324043,373,146
성남동,35.553022,129.319052,1911,687
태화루사거리,35.552996,129.310398,925,542
성남프라자,35.554175,129.31778,625,423
강변공영주차장,35.552359,129.320747,96,21
국민은행사거리,35.555034,129.317444,8,6
시계탑사거리,35.555087,129.32071,223,92
문화의거리,35.556061,129.321101,161,15
국민은행,35.555482,129.318472,92,9
양사초등학교,35.557786,129.317775,135,36
향교,35.560063,129.315795,415,164
근로복지공단.산업인력공단,35.56477,129.313768,288,77
성안고가하부도로,35.564987,129.317793,129,53
궁도장,35.568175,129.315302,10,6
목살골목입구,35.557118,129.315968,174,53
향교삼거리,35.559225,129.314946,4,0
우정동행정복지센터입구,35.555869,129.311447,257,112
우정선경아파트,35.55817,129.312354,717,201
한국석유공사,35.563947,129.309095,199,63
우정아이파크,35.56056,129.310204,138,33
성남동매일마트,35.555754,129.317598,5,10
동명그린빌,35.558865,129.313374,0,4
우정공원앞,35.560617,129.311438,10,2
우정선경1차아파트,35.558941,129.311072,47,7
우정시장,35.555935,129.310252,187,83
우정2공영주차장,35.555492,129.314976,26,4
축산농협,35.556731,129.306679,109,62
강원마트,35.556323,129.313979,4,0
솔밭가든,35.581422,129.320744,82,10
성안청구아파트,35.579988,129.316514,349,28
백양초등학교,35.576489,129.317344,342,77
경찰청,35.572338,129.314819,322,55
백양사,35.574299,129.312145,97,23
국토정보공사,35.575357,129.30884,382,71
금호아파트,35.575342,129.305194,118,23
길촌입구,35.572671,129.301182,7,7
안전보건공단.동서발전,35.565975,129.320552,179,70
성안청구아파트입구,35.579988,129.316514,41,21
성안파출소,35.580636,129.322982,10,8
성안종점,35.562596,129.319035,14,3
내약마을,35.582882,129.325849,6,1
약사동,35.581224,129.319432,0,2
함월구민운동장,35.57782,129.305952,34,2
성안금호아파트,35.575815,129.306252,109,9
G마트,35.577499,129.311036,43,5
신안골드빌,35.579172,129.312806,13,6
방송대후문,35.579362,129.314316,10,3
애니원고등학교,35.578237,129.320469,50,7
장애인종합복지관,35.577311,129.32176,89,10
시립요양원,35.575849,129.320728,44,4
편의점,35.57466,129.319908,22,4
라이온스,35.573689,129.318408,27,13
풍암마을,35.589656,129.29129,2,0
풍암마을입구,35.589656,129.29129,2,1
성동마을회관,35.586921,129.303174,2,0
돌담집,35.583201,129.306207,1,0
KCC인테리어,35.579382,129.323375,3,0
최제우유허지입구,35.562209,129.290657,76,16
동원로얄듀크2차,35.562151,129.293562,61,23
중부소방서,35.563172,129.300619,57,10
울산교육청,35.562439,129.303793,11,3
울산테크노파크,35.562728,129.28059,65,11
길촌마을내,35.577238,129.290141,1,0
당수나무,35.576502,129.291347,1,0
귀신고래바위,35.576903,129.292204,2,0
길촌마을입구,35.576271,129.294462,1,0
점주가든,35.571924,129.300784,1,1
동원로얄듀크정문,35.560283,129.294414,106,1
유곡중학교,35.558697,129.301118,247,22
유곡교,35.560259,129.299621,0,3
동원로얄정문,35.560283,129.294414,0,8
유곡푸르지오,35.559394,129.305379,50,5
삼호교,35.555325,129.277845,1380,670
제일중학교,35.553566,129.284425,1002,236
학성여중,35.55341,129.291163,922,186
태화동,35.552245,129.295435,1853,572
태화강국가정원.동강병원,35.552535,129.300772,1560,479
태화루,35.553937,129.307181,1947,781
테크노파크입구,35.561261,129.277542,32,6
중앙고입구,35.557417,129.283892,47,5
중앙고등학교,35.555039,129.286093,27,4
희마아파트,35.553545,129.293359,11,4
다운동행정복지센터앞,35.556959,129.274359,274,99
다운농협,35.558977,129.2717,432,97
다운아파트,35.562808,129.267161,598,114
다운중고등학교,35.565724,129.266146,158,20
다운동아아파트,35.569349,129.266316,440,96
말미,35.575957,129.265876,3,3
다운교,35.579218,129.265298,13,6
다운파출소,35.560531,129.269957,128,5
다운중학교,35.568359,129.268971,105,15
테크노파크,35.561261,129.277542,1,2
현대골든아파트,35.572625,129.350198,186,40
산전마을,35.574427,129.350525,71,16
산전교,35.577702,129.349939,90,25
한국폴리텍대학,35.579769,129.348867,264,45
서동시장,35.580839,129.34703,375,83
병영초등학교입구,35.574219,129.346018,15,6
제니유치원,35.572634,129.346128,10,4
병영2동행정복지센터,35.579237,129.346524,44,2
서동현대아파트,35.58302,129.346968,44,4
삼일초등학교,35.580506,129.344662,454,97
KCC스위첸,35.581195,129.339954,176,46
외솔중학교,35.584732,129.343276,228,34
삼익세라믹앞,35.515543,129.316948,80,5
삼익세라믹,35.515543,129.316948,184,52
약사골사거리,35.57979,129.337877,27,4
약사제방전시관,35.577307,129.339255,32,9
에일린의뜰2차,35.584482,129.345001,23,4
병영성,35.576802,129.346286,13,7
한라하얏트,35.581596,129.34403,1,2
두강팔레스,35.582695,129.344605,4,2
학성초등학교,35.559633,129.344496,1397,483
중구노인복지관,35.562586,129.341855,109,25
북울산전화국,35.563851,129.342084,378,83
병영사거리,35.56908,129.34472,2110,679
병영1동행정복지센터,35.569512,129.346576,600,169
혜인학교,35.574248,129.338246,132,16
선우시장,35.568907,129.342264,95,40
약사중학교,35.570334,129.340208,59,18
약사아이파크,35.573406,129.339254,70,5
중부경찰서,35.570246,129.350016,213,81
삼일아파트,35.56833,129.346206,124,26
남외중학교,35.567037,129.348771,71,10
푸르지오아파트,35.565104,129.348794,53,8
푸르지오2차아파트,35.565111,129.345874,59,4
종합운동장서문입구,35.563562,129.345271,17,2
병영시장,35.570359,129.346014,91,20
