idx,corridor,wbefore,wafter,saved_min,n_improved,demand_min_saved,top,secs
85,전하1동행정복지센터 → 성원상떼빌 → 시외고속버스터미널 → 시청,41.8,37.59,4.21,651,1310992.0,전하1동행정복지센터(+42); 한마음회관(+35); 울산대학교병원(+35),160.7
39,남목1동 → 현대자동차정문 → 농수산물도매시장 → 시외고속버스터미널 → 시청,41.8,37.85,3.95,660,1230841.0,남목농협(+30); 주전항(+30); 남목3동행정복지센터앞(+29),164.8
99,남목2동 → 현대백화점사거리 → 시청,41.8,38.07,3.73,637,1167517.0,남목2동(+37); 서부패밀리아파트(+34); 현대중공업어린이집(+34),159.1
46,전하1동행정복지센터 → 신전 → 현대백화점 → 현대백화점사거리 → 시청,41.8,38.11,3.69,600,1158184.0,전하1동행정복지센터(+40); 한마음회관(+33); 울산대학교병원(+33),168.9
76,대왕암공원입구 → 번덕마을 → 현대백화점사거리 → 시청,41.81,38.2,3.61,611,1133530.0,번덕마을(+44); 일산새마을금고(+42); 대왕암공원입구(+41),159.5
36,일산새마을금고 → 시외고속버스터미널 → 시청,41.79,38.19,3.6,671,1130301.0,일산새마을금고(+45); 포석정(+44); 중전기복개천(+42),165.2
59,현대중공업일산문 → 농수산물도매시장 → 보람병원입구 → 현대백화점 → 시청,41.79,38.36,3.43,696,1077821.0,현대중공업일산문(+40); 전하인쇄사(+39); 중전기복개천(+38),167.1
0,전하시장 → 태화강역 → 시청,41.8,38.41,3.39,687,1062068.0,전하시장(+44); 진성8길(+39); 한라한빛아파트(+38),173.7
82,성원상떼빌 → 태화강역 → 보람병원입구 → 현대백화점사거리 → 시청,41.8,38.4,3.39,733,1055777.0,성원상떼빌(+29); 염포동(+26); 성내(+23),161.0
77,남목파출소 → 현대자동차정문 → 태화강역 → 현대백화점정문 → 시청,41.8,38.55,3.25,684,1029864.0,남목파출소(+38); 남목3동행정복지센터앞(+36); 수목원입구(+36),167.2
44,서부패밀리아파트 → 현대백화점정문 → 시청,41.8,38.58,3.22,584,1025986.0,서부패밀리아파트(+39); 서부패밀리110동(+34); 지웰시티자이(+32),160.9
25,남호그린아파트 → 보람병원입구 → 현대백화점사거리 → 시청,41.8,38.58,3.21,645,1015052.0,남호그린아파트(+39); 전하체육센터(+39); 전하E편한세상(+39),164.6
