corridor_id,origin_area,destination_sandan_id,destination_sandan,current_avg_access_min,coverable_commute_boardings_07_09,daily_demand_reference,origin_stop_count,representative_stops,origin_lat,origin_lon,avg_route_count,avg_demand_per_route,undersupply_flag,undersupply_basis,proposal_type,note
ulsan_mipo_1,동구 정류장군집(남목1동·서부패밀리아파트·대왕암공원입구·일산해수욕장),ulsan_mipo,울산ㆍ미포,109.7,5192,30646,33,남목1동·서부패밀리아파트·대왕암공원입구·일산해수욕장,35.512237,129.427381,18.5,77.7,과소공급 후보,analyze_mismatch 방식 TOP15 정류장 포함,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
ulsan_mipo_2,울주 정류장군집(우미린2차.푸르지오2차·한라아파트·천상·우미린1차),ulsan_mipo,울산ㆍ미포,109.0,1076,4990,11,우미린2차.푸르지오2차·한라아파트·천상·우미린1차,35.568324,129.23419,12.0,51.5,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
ulsan_mipo_3,북구 정류장군집(신천·농소1동행정복지센터·쌍용아진그린타운3차·쌍용아진그린타운2차),ulsan_mipo,울산ㆍ미포,113.6,784,5878,7,신천·농소1동행정복지센터·쌍용아진그린타운3차·쌍용아진그린타운2차,35.628973,129.347876,26.2,42.3,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
onsan_1,북구 정류장군집(성원상떼빌·신전·양정힐스테이트·현대자동차정문),onsan,온산,114.2,1688,9375,13,성원상떼빌·신전·양정힐스테이트·현대자동차정문,35.540957,129.385793,16.0,61.2,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
onsan_2,울주 정류장군집(우미린2차.푸르지오2차·롯데캐슬·주공1단지·천상),onsan,온산,112.6,1569,6903,21,우미린2차.푸르지오2차·롯데캐슬·주공1단지·천상,35.56295,129.244092,10.7,48.1,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
onsan_3,북구 정류장군집(울산공항·화봉시장·삼일초등학교·화봉초등학교),onsan,온산,110.9,1676,11215,18,울산공항·화봉시장·삼일초등학교·화봉초등학교,35.587668,129.358706,24.5,47.1,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
sin_free_trade_1,동구 정류장군집(남목1동·서부패밀리아파트·동울산우체국·현대중공업미포문),sin_free_trade,신 (① + ②),114.0,4130,24705,31,남목1동·서부패밀리아파트·동울산우체국·현대중공업미포문,35.516958,129.425399,17.6,85.5,과소공급 후보,analyze_mismatch 방식 TOP15 정류장 포함,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
sin_free_trade_2,북구 정류장군집(신천·농소공영차고지·농소2동행정복지센터·화봉초등학교),sin_free_trade,신 (① + ②),113.0,1537,10511,14,신천·농소공영차고지·농소2동행정복지센터·화봉초등학교,35.621329,129.353101,26.0,39.9,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
sin_free_trade_3,북구 정류장군집(성원상떼빌·신전·현대자동차4공장·성내),sin_free_trade,신 (① + ②),103.7,949,4346,5,성원상떼빌·신전·현대자동차4공장·성내,35.532303,129.392386,15.9,66.7,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
gilcheon_1,남구 정류장군집(공업탑·신정시장·태화동·태화루),gilcheon,길천,115.1,6951,47940,58,공업탑·신정시장·태화동·태화루,35.544219,129.292942,34.4,91.2,과소공급 후보,analyze_mismatch 방식 TOP15 정류장 포함,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
gilcheon_2,울주 정류장군집(인보),gilcheon,길천,112.0,18,53,1,인보,35.642921,129.160544,4.0,13.2,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
gilcheon_3,울주 정류장군집(하차리),gilcheon,길천,113.0,12,15,1,하차리,35.632283,129.126947,1.0,15.0,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
bancheon_1,중구 정류장군집(울산과학대학·태화동·태화강국가정원.동강병원·학성여중),bancheon,반천,115.6,3393,22020,45,울산과학대학·태화동·태화강국가정원.동강병원·학성여중,35.549938,129.273416,22.8,68.6,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
bancheon_2,울주 정류장군집(행정·동호그린코아·소야정·삼진아파트),bancheon,반천,115.6,23,60,4,행정·동호그린코아·소야정·삼진아파트,35.6175,129.060452,1.9,9.3,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
bancheon_3,울주 정류장군집(신리·대리·신리삼거리),bancheon,반천,118.0,14,44,3,신리·대리·신리삼거리,35.596796,129.109983,2.3,8.9,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
kcc_ulsan_1,울주 정류장군집(KTX울산역·삼성아파트·언양성당·언양맨션),kcc_ulsan,KCC울산,114.7,623,5597,17,KTX울산역·삼성아파트·언양성당·언양맨션,35.557042,129.129669,25.1,83.5,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
kcc_ulsan_2,울주 정류장군집(신기·율림·지지마을허고개·당지),kcc_ulsan,KCC울산,115.2,16,35,5,신기·율림·지지마을허고개·당지,35.636899,129.221815,2.4,3.3,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
kcc_ulsan_3,울주 정류장군집(상선필),kcc_ulsan,KCC울산,113.0,1,1,1,상선필,35.663704,129.124696,1.0,1.0,,해당 없음,직행/급행 통근버스 corridor 후보,후보이며 운영계획 아님
