id,weighted_access_min,finite_origin_count,finite_origin_demand,name,employment_num,coord_confidence,time
ulsan_mipo,90.37532342346913,786,256243,울산ㆍ미포,98008.0,중,06:00
onsan,93.52000381742656,641,199087,온산,15498.0,중,06:00
maegok,86.38026856652044,817,260792,매곡,1673.0,상,06:00
module,67.08360882327796,953,280712,모듈화,2476.0,상,06:00
ihwa,106.0360619860644,361,124286,이화,,미검증,06:00
jungsan,93.1608002580944,696,241772,중산,364.0,미검증,06:00
gilcheon,86.746642669251,198,21669,길천,2150.0,중,06:00
sin_free_trade,87.01451997850744,827,240083,신 (① + ②),3416.0,중,06:00
waji,113.66299704239238,79,12172,와지,283.0,중,06:00
high_tech_valley,104.1195331030752,254,48062,울산 High Tech Valley,405.0,중,06:00
bonggye,106.38638471526619,86,5391,봉계,450.0,중,06:00
kcc_ulsan,108.72764786795048,89,10178,KCC울산,1217.0,중,06:00
jeoneup,131.69143536875495,142,12610,전읍,82.0,미검증,06:00
bancheon,105.7071672048798,160,22296,반천,1779.0,중,06:00
jakdong,104.129647854736,493,153431,작동,0.0,미검증,06:00
jungsan2,104.2363230521333,592,219073,중산2차,890.0,상,06:00
maegok2,88.99825870255653,774,254408,매곡2,170.0,미검증,06:00
maegok3,85.72713202934911,833,264267,매곡3,756.0,미검증,06:00
ulsan_techno,66.89220760464703,1172,297739,울산테크노,3092.0,중,06:00
gw,102.42742352941177,542,170000,GW,549.0,미검증,06:00
mobile_tech_valley,84.1109203639456,792,250477,모바일테크밸리,569.0,미검증,06:00
energy_convergence,96.91116544417278,111,7362,에너지융합,690.0,중,06:00
cheongyang,74.53401797175866,128,7790,청양,0.0,미검증,06:00
muggerbon,103.86842482080137,325,118723,머거본,0.0,미검증,06:00
doha,107.93824189211273,203,67311,울산도하일반산업단지,0.0,미검증,06:00
ktx_station_area,80.4667581973833,918,247640,울산KT역세권일반산업단지,0.0,미검증,06:00
daedae,90.11625451194224,648,208336,대대일반산업단지,0.0,미검증,06:00
automotive_nammok,68.72313449182244,927,273920,자동차일반산업단지[구:남목],0.0,미검증,06:00
janghyeon,69.82772195172485,1052,289590,울산장현,,미검증,06:00
ulsan_mipo,86.51743872630468,881,270834,울산ㆍ미포,98008.0,중,08:00
onsan,90.29875652079409,786,220832,온산,15498.0,중,08:00
maegok,84.13167871594483,867,266406,매곡,1673.0,상,08:00
module,66.92319759667859,1043,284939,모듈화,2476.0,상,08:00
ihwa,100.14879551684821,464,164884,이화,,미검증,08:00
jungsan,89.00098707535615,771,248208,중산,364.0,미검증,08:00
gilcheon,102.67411505994183,369,98679,길천,2150.0,중,08:00
sin_free_trade,83.5782024909013,945,259103,신 (① + ②),3416.0,중,08:00
waji,106.4256999507704,250,95471,와지,283.0,중,08:00
high_tech_valley,101.6895304217749,463,123004,울산 High Tech Valley,405.0,중,08:00
bonggye,108.52376349283068,155,12414,봉계,450.0,중,08:00
kcc_ulsan,108.83415288332588,122,11185,KCC울산,1217.0,중,08:00
jeoneup,131.69143536875495,142,12610,전읍,82.0,미검증,08:00
bancheon,99.21323846485554,279,64932,반천,1779.0,중,08:00
jakdong,97.76293739744982,675,194417,작동,0.0,미검증,08:00
jungsan2,93.18762049022308,675,232384,중산2차,890.0,상,08:00
maegok2,85.6805461329715,832,259424,매곡2,170.0,미검증,08:00
maegok3,82.24938897670062,932,273312,매곡3,756.0,미검증,08:00
ulsan_techno,62.82852960931939,1266,299247,울산테크노,3092.0,중,08:00
gw,94.39426461623174,760,203404,GW,549.0,미검증,08:00
mobile_tech_valley,81.77429356357928,846,254800,모바일테크밸리,569.0,미검증,08:00
energy_convergence,90.29950337450656,123,7853,에너지융합,690.0,중,08:00
cheongyang,106.04451065503108,448,132238,청양,0.0,미검증,08:00
muggerbon,103.22474048442906,462,144500,머거본,0.0,미검증,08:00
doha,104.50764690888414,396,102002,울산도하일반산업단지,0.0,미검증,08:00
ktx_station_area,77.90542194370363,1052,250851,울산KT역세권일반산업단지,0.0,미검증,08:00
