id,name,category,lat,lon,employment,operating_firms,weighted_access_min,access_grade,reachable_origin_demand,reachable_origin_demand_pct,over45_origin_demand,employment_weighted_blindspot_score,parking_area,parking_enforcement_count,coord_confidence,coord_source,numeric_source
ulsan_mipo,울산ㆍ미포,국가·남구,35.48234,129.362488,98008.0,738,86.4,사각(>60),268419,88.1,268026,4057525.1,미포권역,11740,중,국토부 산업단지위치도면 SHP centroid (data.go.kr/15081111); 48.5㎢ 다지구 대표중심점,"kicox_national_20250630.csv / 고용현황(명)_계, 가동업체(개)"
onsan,온산,국가·울주군,35.433332,129.348576,15498.0,274,90.1,사각(>60),219024,71.9,217664,698816.6,온산권역,12289,중,국토부 산업단지위치도면 SHP centroid (data.go.kr/15081111) 대표중심점,"kicox_national_20250630.csv / 고용현황(명)_계, 가동업체(개)"
sin_free_trade,신 (① + ②),일반·울주군,35.472621,129.334189,3416.0,108,83.8,사각(>60),260523,85.5,256702,132674.6,온산권역,12289,중,국토부 SHP centroid (15081111) 신일반산업단지; 자유무역지역 입지중첩,"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
gilcheon,길천,일반·울주군,35.596631,129.079336,2150.0,86,102.9,사각(>60),99306,32.6,97363,124544.2,울주서부권역,19090,중,국토부 SHP centroid (15081111),"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
bancheon,반천,일반·울주군,35.561895,129.148516,1779.0,69,98.5,사각(>60),62216,20.4,57415,95130.5,울주서부권역,19090,중,국토부 SHP centroid (15081111),"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
kcc_ulsan,KCC울산,일반·울주군,35.697875,129.190205,1217.0,40,106.8,사각(>60),11009,3.6,10920,75255.5,온산권역,12289,중,국토부 SHP centroid (15081111),"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
maegok,매곡,일반·북구,35.646613,129.364376,1673.0,58,84.2,사각(>60),267245,87.7,248584,65660.8,북구산단권역,18090,상,국토부 SHP + OSM way/366905893 일치,"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
ulsan_techno,울산테크노,일반·남구,35.509326,129.300095,3092.0,143,62.7,사각(>60),298933,98.1,214714,54575.8,테크노권역,113,중,국토부 SHP centroid (15081111) 울산테크노일반,"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
module,모듈화,일반·북구,35.570515,129.376902,2476.0,30,66.8,사각(>60),284780,93.5,253443,53858.2,북구산단권역,18090,상,국토부 SHP + OSM way/1175516352 일치,"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
jungsan2,중산2차,일반·북구,35.66292,129.352201,890.0,39,93.1,사각(>60),233933,76.8,225586,42851.0,북구산단권역,18090,상,국토부 SHP + OSM way/1074419969 일치,"kicox_general_20250630.csv / 고용현황(명)_계, 가동업체(개)"
